locus_tag	tts_position	gff_matched	inferred_strand	confidence	note
CDIF630_02156	2233859	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10840 (2234042-2234599, -链); Location TTS=3UTR
CDIF630_02158	2237109	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS10850 (2235795-2236994, +链); Location TTS=3UTR
CDIF630_02159	2237050	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10855 (2237188-2239743, -链); Location TTS=3UTR
CDIF630_02163	2243470	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS10875 (2242346-2243410, +链); Location TTS=3UTR
CDIF630_02167	2248561	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS10895 (2246035-2248452, +链); Location TTS=3UTR
CDIF630_02168	2248506	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10900 (2248633-2249424, -链); Location TTS=3UTR
CDIF630_02170	2250166	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10910 (2250221-2251612, -链); Location TTS=3UTR
CDIF630_02170	2250536	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10910 (2250221-2251612, -链); Location TTS=CDS
CDIF630_02172	2253342	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10920 (2253459-2254334, -链); Location TTS=3UTR
CDIF630_02173	2254460	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10925 (2254527-2255213, -链); Location TTS=3UTR
CDIF630_02177	2257715	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10945 (2257773-2259119, -链); Location TTS=3UTR
CDIF630_02179	2260502	是	-	高	locus tag直接命中 GFF gene/hfq (2260595-2260855, -链); Location TTS=3UTR
CDIF630_02183	2266849	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10975 (2266923-2267657, -链); Location TTS=3UTR
CDIF630_02185	2268871	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS10985 (2268661-2269431, -链); Location TTS=CDS
CP010905.2:2269827..2269926	2269791	是	-	低	坐标定位到GFF特征 riboswitch/ (2269827-2269926, -链), 非基因特征, 低置信
CDIF630_02189	2270914	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS20525 (2270689-2270865, +链); Location TTS=3UTR
CDIF630_02194	2274031	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11015 (2273644-2273982, +链); Location TTS=3UTR
CDIF630_02195	2274211	是	-	高	locus tag直接命中 GFF gene/miaB (2274389-2275825, -链); Location TTS=3UTR
CDIF630_02196	2275991	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11025 (2276073-2277509, -链); Location TTS=3UTR
CDIF630_02197	2278186	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11035 (2278337-2278888, -链); Location TTS=3UTR
CP010905.2:2279039..2279302	2279019	是	-	低	坐标定位到GFF特征 binding_site/ (2279039-2279302, -链), 非基因特征, 低置信
CP010905.2:2279039..2279302	2279118	是	-	低	坐标定位到GFF特征 binding_site/ (2279039-2279302, -链), 非基因特征, 低置信
CDIF630_02200	2280421	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11045 (2280492-2280977, -链); Location TTS=3UTR
CDIF630_02204	2282492	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS20530 (2282268-2282444, +链); Location TTS=3UTR
CDIF630_02205	2282916	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11060 (2282670-2282870, +链); Location TTS=3UTR
CDIF630_02206	2283002	是	+	低	locus tag(CDIF630_02206)未命中; 按坐标关联到GFF gene/CDIF630_RS11060 (2282670-2282870, +链), 低置信
CDIF630_02207	2285104	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11075 (2283874-2284719, +链); Location TTS=3UTR
CDIF630_02207	2285423	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11075 (2283874-2284719, +链); Location TTS=3UTR
CDIF630_02208	2284890	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS20535 (2284943-2285107, -链); Location TTS=3UTR
CDIF630_02210	2286100	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11090 (2286224-2286865, -链); Location TTS=3UTR
CDIF630_02212	2287636	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS20885 (2287762-2287896, -链); Location TTS=3UTR
CDIF630_02215	2291810	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11125 (2291846-2292925, -链); Location TTS=3UTR
CDIF630_02215	2291674	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11125 (2291846-2292925, -链); Location TTS=3UTR
CDIF630_02215	2291555	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11125 (2291846-2292925, -链); Location TTS=3UTR
CDIF630_02217	2293943	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11140 (2294346-2294774, -链); Location TTS=3UTR
CDIF630_02218	2295056	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11145 (2295250-2296188, -链); Location TTS=3UTR
CDIF630_02220	2297453	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11155 (2297075-2297434, +链); Location TTS=3UTR
CDIF630_02221	2297406	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11165 (2297845-2299167, -链); Location TTS=3UTR
CDIF630_02222	2299189	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11170 (2299256-2299909, -链); Location TTS=3UTR
CDIF630_02224	2301406	是	-	低	locus tag(CDIF630_02224)未命中; 按坐标关联到GFF gene/CDIF630_RS11190 (2301162-2301446, -链), 低置信
CDIF630_02224	2301128	是	-	低	locus tag(CDIF630_02224)未命中; 按坐标关联到GFF gene/CDIF630_RS11190 (2301162-2301446, -链), 低置信
CDIF630_02227	2302514	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11210 (2302570-2303424, -链); Location TTS=3UTR
CDIF630_02228	2303813	是	-	低	locus tag(CDIF630_02228)未命中; 按坐标关联到GFF gene/CDIF630_RS11215 (2303569-2303853, -链), 低置信
CDIF630_02228	2303571	是	-	低	locus tag(CDIF630_02228)未命中; 按坐标关联到GFF gene/CDIF630_RS11215 (2303569-2303853, -链), 低置信
CDIF630_02231	2305823	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11245 (2306318-2307130, -链); Location TTS=3UTR
CDIF630_02233	2308039	是	-	高	locus tag直接命中 GFF gene/ilvD (2308129-2309784, -链); Location TTS=3UTR
CDIF630_02234	2310011	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11260 (2310108-2310407, -链); Location TTS=3UTR
CDIF630_02235	2311435	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11265 (2310667-2311347, +链); Location TTS=3UTR
CDIF630_02236	2311383	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11270 (2311457-2311714, -链); Location TTS=3UTR
CDIF630_02237	2312652	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11275 (2312263-2312634, +链); Location TTS=3UTR
CDIF630_02238	2312606	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS20540 (2312631-2312771, -链); Location TTS=3UTR
CDIF630_02238	2312111	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS20540 (2312631-2312771, -链); Location TTS=3UTR
CDIF630_02240	2316031	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11290 (2314473-2315900, +链); Location TTS=3UTR
CDIF630_02241	2315978	是	-	高	locus tag直接命中 GFF gene/clpB (2316031-2318625, -链); Location TTS=3UTR
CDIF630_02246	2321995	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11320 (2321280-2321918, +链); Location TTS=3UTR
CDIF630_02249	2325176	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11335 (2324393-2325091, +链); Location TTS=3UTR
CDIF630_02249	2325248	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11335 (2324393-2325091, +链); Location TTS=3UTR
CDIF630_02250	2325212	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11340 (2325311-2325928, -链); Location TTS=3UTR
CP010905.2:2331824..2332037	2331675	是	-	低	坐标定位到GFF特征 binding_site/ (2331824-2332037, -链), 非基因特征, 低置信
CP010905.2:2331824..2332037	2331800	是	-	低	坐标定位到GFF特征 binding_site/ (2331824-2332037, -链), 非基因特征, 低置信
CDIF630_02262	2338319	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11400 (2337453-2338262, +链); Location TTS=3UTR
CDIF630_02262	2338563	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11400 (2337453-2338262, +链); Location TTS=3UTR
CDIF630_02263	2339206	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11405 (2338696-2339058, +链); Location TTS=3UTR
CDIF630_02267	2342668	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11430 (2342422-2342637, +链); Location TTS=3UTR
CDIF630_02267	2343363	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11430 (2342422-2342637, +链); Location TTS=3UTR
CDIF630_02268	2343317	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11440 (2343408-2343692, -链); Location TTS=3UTR
CDIF630_02268	2342632	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11440 (2343408-2343692, -链); Location TTS=3UTR
CDIF630_02269	2343878	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11445 (2344139-2344819, -链); Location TTS=3UTR
CDIF630_02270	2346037	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11450 (2346090-2346962, -链); Location TTS=3UTR
CDIF630_02270	2345881	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11450 (2346090-2346962, -链); Location TTS=3UTR
CDIF630_02274	2350049	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11470 (2350139-2350798, -链); Location TTS=3UTR
CDIF630_02275	2350893	是	-	高	locus tag直接命中 GFF gene/lysA (2351015-2352307, -链); Location TTS=3UTR
CP010905.2:2353600..2353768	2353591	是	-	低	坐标定位到GFF特征 riboswitch/ (2353600-2353768, -链), 非基因特征, 低置信
CDIF630_02279	2354579	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11495 (2354666-2356366, -链); Location TTS=3UTR
CDIF630_02280	2356637	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11500 (2356763-2357326, -链); Location TTS=3UTR
CDIF630_02282	2360232	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11510 (2358490-2360154, +链); Location TTS=3UTR
CDIF630_02283	2360164	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11515 (2360261-2361160, -链); Location TTS=3UTR
CDIF630_02285	2361969	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11525 (2362162-2363160, -链); Location TTS=3UTR
CDIF630_02285	2362165	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11525 (2362162-2363160, -链); Location TTS=CDS
CDIF630_02287	2364453	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11535 (2364149-2364412, +链); Location TTS=3UTR
CDIF630_02288	2364418	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11540 (2364849-2365226, -链); Location TTS=3UTR
CDIF630_02289	2366764	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11545 (2365567-2366679, +链); Location TTS=3UTR
CDIF630_02290	2366837	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11550 (2366887-2367363, -链); Location TTS=3UTR
CDIF630_02291	2367477	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11555 (2367562-2369187, -链); Location TTS=3UTR
CDIF630_02292	2369481	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11560 (2369525-2370544, -链); Location TTS=3UTR
CDIF630_02295	2371995	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11575 (2372122-2373399, -链); Location TTS=3UTR
CDIF630_02295	2371732	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11575 (2372122-2373399, -链); Location TTS=3UTR
CDIF630_02296	2373422	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11580 (2373538-2375844, -链); Location TTS=3UTR
CDIF630_02296	2374725	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11580 (2373538-2375844, -链); Location TTS=CDS
CDIF630_02296	2374821	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11580 (2373538-2375844, -链); Location TTS=CDS
CDIF630_02299	2379294	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11595 (2379442-2380527, -链); Location TTS=3UTR
CDIF630_02300	2380691	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11600 (2380763-2381848, -链); Location TTS=3UTR
CDIF630_02309	2392583	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11645 (2392648-2393319, -链); Location TTS=3UTR
CDIF630_02315	2400866	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11675 (2400956-2401996, -链); Location TTS=3UTR
CDIF630_02316	2402254	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11680 (2402323-2403591, -链); Location TTS=3UTR
CDIF630_02316	2402110	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11680 (2402323-2403591, -链); Location TTS=3UTR
CDIF630_02321	2408104	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11705 (2408148-2408459, -链); Location TTS=3UTR
CDIF630_02325	2412220	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11725 (2412299-2413567, -链); Location TTS=3UTR
CDIF630_02327	2414139	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11735 (2414218-2415300, -链); Location TTS=3UTR
CDIF630_02330	2419233	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11750 (2418005-2419150, +链); Location TTS=3UTR
CDIF630_02331	2419177	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11755 (2419264-2420640, -链); Location TTS=3UTR
CDIF630_02333	2422515	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11760 (2421086-2422432, +链); Location TTS=3UTR
CDIF630_02334	2423983	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11765 (2422510-2423904, +链); Location TTS=3UTR
CDIF630_02335	2423902	是	-	高	locus tag直接命中 GFF gene/fsa (2424026-2424700, -链); Location TTS=3UTR
CDIF630_02336	2425955	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11775 (2424974-2425738, +链); Location TTS=3UTR
CDIF630_02337	2425901	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11780 (2426027-2426248, -链); Location TTS=3UTR
CDIF630nc_073	2426406	是	-	低	locus tag(CDIF630nc_073)未命中; 按坐标关联到GFF gene/CDIF630_RS11780 (2426027-2426248, -链), 低置信
CDIF630_02340	2428653	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11795 (2428738-2431239, -链); Location TTS=3UTR
CDIF630_02341	2431452	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11800 (2431523-2431714, -链); Location TTS=3UTR
CDIF630_02343	2434216	是	+	高	locus tag直接命中 GFF gene/typA (2432316-2434139, +链); Location TTS=3UTR
CDIF630_02344	2434160	是	-	高	locus tag直接命中 GFF gene/trxB (2434229-2435137, -链); Location TTS=3UTR
CDIF630_02345	2435268	是	-	低	locus tag(CDIF630_02345)未命中; 按坐标关联到GFF gene/trxB (2434229-2435137, -链), 低置信
CP010905.2:2435939..2436170	2436193	是	+	低	坐标定位到GFF特征 binding_site/ (2435939-2436170, +链), 非基因特征, 低置信
CDIF630_02348	2438766	是	+	高	locus tag直接命中 GFF gene/thrB (2437769-2438662, +链); Location TTS=3UTR
CDIF630_02349	2439945	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11830 (2438789-2439847, +链); Location TTS=3UTR
CDIF630_02350	2439871	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11835 (2440002-2440514, -链); Location TTS=3UTR
CDIF630_02351	2442032	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11840 (2441034-2441969, +链); Location TTS=3UTR
CDIF630_02351	2441924	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11840 (2441034-2441969, +链); Location TTS=CDS
CDIF630_02352	2441975	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11845 (2442061-2443932, -链); Location TTS=3UTR
CDIF630_02354	2445375	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS20545 (2445187-2445333, +链); Location TTS=3UTR
CDIF630_02355	2445413	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11855 (2445438-2445962, -链); Location TTS=3UTR
CDIF630_02357	2447618	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11865 (2446436-2447560, +链); Location TTS=3UTR
CDIF630_02358	2447867	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11870 (2448034-2448858, -链); Location TTS=3UTR
CDIF630_02359	2449112	是	-	高	locus tag直接命中 GFF gene/ispG (2449206-2450261, -链); Location TTS=3UTR
CDIF630_02360	2450337	是	-	高	locus tag直接命中 GFF gene/rseP (2450444-2451448, -链); Location TTS=3UTR
CDIF630_02361	2452301	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11885 (2451461-2452615, -链); Location TTS=CDS
CDIF630_02363	2453973	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS11895 (2453319-2453900, +链); Location TTS=3UTR
CDIF630_02364	2453917	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11900 (2453987-2455798, -链); Location TTS=3UTR
CDIF630_02365	2456513	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11910 (2456622-2457401, -链); Location TTS=3UTR
CDIF630_02367	2458163	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11920 (2458177-2458380, -链); Location TTS=3UTR
CDIF630_02370	2459716	是	-	高	locus tag直接命中 GFF gene/tsf (2459755-2460666, -链); Location TTS=3UTR
CDIF630_02371	2460700	是	-	高	locus tag直接命中 GFF gene/rpsB (2460745-2461458, -链); Location TTS=3UTR
CDIF630_02376	2465678	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11965 (2465743-2467653, -链); Location TTS=3UTR
CDIF630_02376	2467382	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11965 (2465743-2467653, -链); Location TTS=CDS
CDIF630_02377	2468097	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11970 (2468187-2469254, -链); Location TTS=3UTR
CDIF630_02378	2469294	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11975 (2469500-2470483, -链); Location TTS=3UTR
CDIF630_02378	2469575	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11975 (2469500-2470483, -链); Location TTS=CDS
CDIF630_02379	2470672	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11980 (2470753-2472012, -链); Location TTS=3UTR
CDIF630_02381	2472991	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS20550 (2473073-2473234, -链); Location TTS=3UTR
CDIF630_02382	2473491	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS11995 (2473577-2474737, -链); Location TTS=3UTR
CDIF630nc_128	2476555	是	+	低	locus tag(CDIF630nc_128)未命中; 按坐标关联到GFF gene/CDIF630_RS12005 (2476600-2476851, +链), 低置信
CDIF630_02388	2481152	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12025 (2480663-2481091, +链); Location TTS=3UTR
CDIF630_02388	2481385	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12025 (2480663-2481091, +链); Location TTS=CDS
CDIF630_02389	2481094	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12030 (2481166-2482485, -链); Location TTS=3UTR
CDIF630_02390	2482685	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12035 (2482777-2483562, -链); Location TTS=3UTR
CDIF630_02392	2484737	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12045 (2484794-2485111, -链); Location TTS=3UTR
CDIF630_02394	2486114	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12055 (2485773-2486972, -链); Location TTS=CDS
CDIF630_02394	2486843	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12055 (2485773-2486972, -链); Location TTS=CDS
CDIF630_02396	2488822	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12065 (2487755-2488723, +链); Location TTS=3UTR
CDIF630_02397	2488740	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12070 (2488840-2489970, -链); Location TTS=3UTR
CDIF630_02398	2490056	是	-	高	locus tag直接命中 GFF gene/msrA (2490123-2491076, -链); Location TTS=3UTR
CDIF630_02400	2492353	是	-	高	locus tag直接命中 GFF gene/hcp (2492476-2494068, -链); Location TTS=3UTR
CDIF630_02402	2495877	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12095 (2495018-2495722, +链); Location TTS=3UTR
CDIF630_02403	2495820	是	-	高	locus tag直接命中 GFF pseudogene/CDIF630_RS12105 (2495886-2497157, -链); Location TTS=3UTR
CDIF630_02404	2497659	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12110 (2497748-2498497, -链); Location TTS=3UTR
CDIF630_02406	2499839	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12120 (2499914-2500711, -链); Location TTS=3UTR
CDIF630_02407	2500920	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12125 (2500771-2501433, -链); Location TTS=CDS
CDIF630_02410	2503443	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12140 (2503541-2503963, -链); Location TTS=3UTR
CDIF630_02412	2509681	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12150 (2506435-2509614, +链); Location TTS=3UTR
CDIF630_02413	2509834	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12155 (2509899-2510663, -链); Location TTS=3UTR
CDIF630_02413	2509623	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12155 (2509899-2510663, -链); Location TTS=3UTR
CDIF630_02416	2512778	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12170 (2512947-2513489, -链); Location TTS=3UTR
CDIF630_02419	2515629	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12185 (2515688-2516581, -链); Location TTS=3UTR
CDIF630_02423	2522048	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12205 (2522134-2522955, -链); Location TTS=3UTR
CDIF630_02424	2523066	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12210 (2523146-2523499, -链); Location TTS=3UTR
CDIF630_02427	2527559	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12225 (2526962-2527477, +链); Location TTS=3UTR
CDIF630_02427	2527713	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12225 (2526962-2527477, +链); Location TTS=3UTR
CDIF630_02428	2527499	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12230 (2527744-2529843, -链); Location TTS=3UTR
CDIF630_02429	2529876	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12235 (2529967-2530506, -链); Location TTS=3UTR
CDIF630_02436	2537977	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12270 (2537250-2537903, +链); Location TTS=3UTR
CDIF630_02437	2537919	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12275 (2538022-2538804, -链); Location TTS=3UTR
CDIF630_02438	2538834	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12280 (2538921-2540087, -链); Location TTS=3UTR
CDIF630_02440	2541798	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12290 (2541902-2542426, -链); Location TTS=3UTR
CDIF630_02440	2541709	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12290 (2541902-2542426, -链); Location TTS=3UTR
CDIF630_02442	2543092	是	-	高	locus tag直接命中 GFF gene/hflX (2543206-2544477, -链); Location TTS=3UTR
CDIF630nc_074	2544694	是	-	低	locus tag(CDIF630nc_074)未命中; 按坐标关联到GFF gene/CDIF630_RS12305 (2545202-2547034, -链), 低置信
CDIF630_02443	2545106	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12305 (2545202-2547034, -链); Location TTS=3UTR
CDIF630_02446	2550030	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12325 (2550107-2550673, -链); Location TTS=3UTR
CDIF630_02448	2552095	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12335 (2551720-2552037, +链); Location TTS=3UTR
CDIF630_02449	2553142	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12340 (2552187-2552864, +链); Location TTS=3UTR
CDIF630_02450	2553008	是	-	高	locus tag直接命中 GFF gene/aroD (2553192-2553959, -链); Location TTS=3UTR
CDIF630_02453	2557003	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12370 (2556333-2556953, +链); Location TTS=3UTR
CDIF630_02455	2559169	是	+	低	locus tag(CDIF630_02455)未命中; 按坐标关联到GFF gene/CDIF630_RS21125 (2558899-2558982, +链), 低置信
CDIF630_02455	2559270	是	+	低	locus tag(CDIF630_02455)未命中; 按坐标关联到GFF gene/CDIF630_RS21125 (2558899-2558982, +链), 低置信
CDIF630_02459	2561869	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12410 (2561078-2561710, +链); Location TTS=3UTR
CDIF630_02459	2562028	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12410 (2561078-2561710, +链); Location TTS=3UTR
CDIF630_02460	2561975	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12415 (2562081-2562950, -链); Location TTS=3UTR
CDIF630_02461	2563288	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12420 (2563047-2563904, -链); Location TTS=CDS
CDIF630_02462	2564064	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12425 (2564119-2566137, -链); Location TTS=3UTR
CDIF630_02463	2566341	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12430 (2566408-2567184, -链); Location TTS=3UTR
CDIF630_02467	2570332	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12450 (2570415-2571104, -链); Location TTS=3UTR
CDIF630_02471	2573911	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12470 (2573942-2574394, -链); Location TTS=3UTR
CDIF630_02472	2574453	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12475 (2574524-2576026, -链); Location TTS=3UTR
CDIF630_02475	2577914	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12490 (2577954-2578445, -链); Location TTS=3UTR
CDIF630_02477	2581556	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12500 (2580250-2581425, +链); Location TTS=3UTR
CDIF630_02478	2581505	是	-	高	locus tag直接命中 GFF gene/asnS (2581598-2582995, -链); Location TTS=3UTR
CP010905.2:2583072..2583305	2583047	是	-	低	坐标定位到GFF特征 binding_site/ (2583072-2583305, -链), 非基因特征, 低置信
CP010905.2:2583072..2583305	2583128	是	-	低	坐标定位到GFF特征 binding_site/ (2583072-2583305, -链), 非基因特征, 低置信
CDIF630_02483	2589142	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12525 (2589190-2590386, -链); Location TTS=3UTR
CDIF630_02486	2593343	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12540 (2592937-2593293, +链); Location TTS=3UTR
CDIF630_02487	2593296	是	-	高	locus tag直接命中 GFF gene/eam (2593386-2594654, -链); Location TTS=3UTR
CDIF630_02488	2594980	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12550 (2595056-2596438, -链); Location TTS=3UTR
CDIF630_02489	2597392	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12555 (2596567-2597253, +链); Location TTS=3UTR
CDIF630_02490	2597349	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12560 (2597438-2598973, -链); Location TTS=3UTR
CDIF630_02490	2598633	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS12560 (2597438-2598973, -链); Location TTS=CDS
CDIF630_02491	2600346	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS12565 (2599248-2600297, +链); Location TTS=3UTR
